"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","PID","START_TIME","EXP_AB","ATTENTION_FAILURES","trial","responses","view_history","x","y","actor","target_emotion"
"html-custom-grid-response-ac","173","1220804","0.0-9.0-3.0","4195","If you are paying attention, please click anywhere in the <span style='color: #ff0000;'><strong>bottom left quadrant</strong></span>.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","attention-check","","","-72","-85","M6","perplexed"
"html-keyboard-response","174","1221809","0.0-11.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","175","1228144","0.0-11.0-1.0","","","","","","","","","","","","","",""
"image-keyboard-response","176","1228659","0.0-11.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","177","1230676","0.0-11.0-3.0","1417","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","112","128","F5","eager"
"html-keyboard-response","178","1231680","0.0-11.0-0.1","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","179","1237522","0.0-11.0-1.1","","","","","","","","","","","","","",""
"image-keyboard-response","180","1238041","0.0-11.0-2.1","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","181","1241877","0.0-11.0-3.1","3752","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-44","-116","F3","ashamed"
"html-keyboard-response","182","1242946","0.0-11.0-0.2","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","183","1249160","0.0-11.0-1.2","","","","","","","","","","","","","",""
"image-keyboard-response","184","1249672","0.0-11.0-2.2","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","185","1253259","0.0-11.0-3.2","3095","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-44","-116","F7","aghast"
"html-keyboard-response","186","1254267","0.0-11.0-0.3","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","187","1260217","0.0-11.0-1.3","","","","","","","","","","","","","",""
"image-keyboard-response","188","1260733","0.0-11.0-2.3","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","189","1263066","0.0-11.0-3.3","2170","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-60","-112","F5","resentful"
"html-keyboard-response","190","1264143","0.0-11.0-0.4","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","191","1270139","0.0-11.0-1.4","","","","","","","","","","","","","",""
"image-keyboard-response","192","1270651","0.0-11.0-2.4","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","193","1272330","0.0-11.0-3.4","1336","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","144","55","F2","fantasizing"
"html-keyboard-response","194","1273343","0.0-11.0-0.5","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","195","1280352","0.0-11.0-1.5","","","","","","","","","","","","","",""
"image-keyboard-response","196","1280869","0.0-11.0-2.5","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","197","1284399","0.0-11.0-3.5","3170","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-44","-100","F3","incredulous"
"html-keyboard-response","198","1285498","0.0-11.0-0.6","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","199","1291673","0.0-11.0-1.6","","","","","","","","","","","","","",""
"image-keyboard-response","200","1292182","0.0-11.0-2.6","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","201","1294336","0.0-11.0-3.6","1804","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-60","-106","M3","aghast"
"html-keyboard-response","202","1295341","0.0-11.0-0.7","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","203","1301808","0.0-11.0-1.7","","","","","","","","","","","","","",""
"image-keyboard-response","204","1302324","0.0-11.0-2.7","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","205","1303868","0.0-11.0-3.7","1349","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","42","-110","M6","indecisive"
"html-keyboard-response","206","1304883","0.0-11.0-0.8","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","207","1312455","0.0-11.0-1.8","","","","","","","","","","","","","",""
"image-keyboard-response","208","1312966","0.0-11.0-2.8","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","209","1315820","0.0-11.0-3.8","2161","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-68","-87","M1","dispirited"
"html-keyboard-response","210","1316829","0.0-11.0-0.9","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","211","1322619","0.0-11.0-1.9","","","","","","","","","","","","","",""
"image-keyboard-response","212","1323136","0.0-11.0-2.9","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","213","1329077","0.0-11.0-3.9","5538","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-50","-74","F4","impatient"
"html-keyboard-response","214","1330153","0.0-11.0-0.10","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","215","1337156","0.0-11.0-1.10","","","","","","","","","","","","","",""
"image-keyboard-response","216","1337670","0.0-11.0-2.10","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","217","1339113","0.0-11.0-3.10","1003","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-25","-82","M6","indifferent"
"html-keyboard-response","218","1340171","0.0-11.0-0.11","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","219","1347229","0.0-11.0-1.11","","","","","","","","","","","","","",""
"image-keyboard-response","220","1347738","0.0-11.0-2.11","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","221","1365780","0.0-11.0-3.11","17475","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","120","-32","M2","encouraging"
"html-keyboard-response","222","1366786","0.0-11.0-0.12","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","223","1372123","0.0-11.0-1.12","","","","","","","","","","","","","",""
"image-keyboard-response","224","1372632","0.0-11.0-2.12","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","225","1375023","0.0-11.0-3.12","1741","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","60","-105","F2","hopeful"
"html-keyboard-response","226","1376156","0.0-11.0-0.13","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","227","1382242","0.0-11.0-1.13","","","","","","","","","","","","","",""
"image-keyboard-response","228","1382760","0.0-11.0-2.13","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","229","1384170","0.0-11.0-3.13","1096","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-38","-101","M3","resentful"
"html-keyboard-response","230","1385176","0.0-11.0-0.14","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","231","1391009","0.0-11.0-1.14","","","","","","","","","","","","","",""
"image-keyboard-response","232","1391519","0.0-11.0-2.14","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","233","1393209","0.0-11.0-3.14","1196","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-38","-101","F3","fearful"
"html-keyboard-response","234","1394220","0.0-11.0-0.15","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","235","1401464","0.0-11.0-1.15","","","","","","","","","","","","","",""
"image-keyboard-response","236","1401978","0.0-11.0-2.15","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","237","1403815","0.0-11.0-3.15","1185","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-98","63","M2","alarmed"
"html-keyboard-response","238","1404825","0.0-11.0-0.16","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","239","1411753","0.0-11.0-1.16","","","","","","","","","","","","","",""
"image-keyboard-response","240","1412271","0.0-11.0-2.16","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","241","1414678","0.0-11.0-3.16","1865","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-63","-99","M3","decisive"
"html-keyboard-response","242","1415691","0.0-11.0-0.17","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","243","1422461","0.0-11.0-1.17","","","","","","","","","","","","","",""
"image-keyboard-response","244","1422971","0.0-11.0-2.17","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","245","1426785","0.0-11.0-3.17","3535","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-67","-99","M2","regretful"
"html-keyboard-response","246","1427826","0.0-11.0-0.18","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","247","1433871","0.0-11.0-1.18","","","","","","","","","","","","","",""
"image-keyboard-response","248","1434383","0.0-11.0-2.18","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","249","1436345","0.0-11.0-3.18","1620","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-110","20","F2","annoyed"
"html-keyboard-response","250","1437352","0.0-11.0-0.19","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","251","1442660","0.0-11.0-1.19","","","","","","","","","","","","","",""
"image-keyboard-response","252","1443169","0.0-11.0-2.19","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","253","1444960","0.0-11.0-3.19","1051","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-50","-57","F4","imploring"
"html-keyboard-response","254","1445971","0.0-11.0-0.20","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","255","1451693","0.0-11.0-1.20","","","","","","","","","","","","","",""
"image-keyboard-response","256","1452201","0.0-11.0-2.20","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","257","1454802","0.0-11.0-3.20","2453","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","130","46","M2","flirtatious"
"html-keyboard-response","258","1455807","0.0-11.0-0.21","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","259","1462017","0.0-11.0-1.21","","","","","","","","","","","","","",""
"image-keyboard-response","260","1462521","0.0-11.0-2.21","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","261","1466173","0.0-11.0-3.21","3207","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-1","-149","F4","dominant"
"html-button-response","262","1747471","0.0-12.0","281293","You have completed the first part of the experiment.<br> Please take a five-minute break before moving on to the next trial.<p> Feel free to walk around the room and stretch. However, please make sure to return to the task<br> within 5 minutes, as extended delays may result in automatic withdrawal from the study.<br>Press <b>Continue</b> to proceed with the experiment.<p><span id=""clock"">5:00</span>","0","","","","","","","","","","",""
"html-keyboard-response","263","1748484","0.0-13.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","264","1754102","0.0-13.0-1.0","","","","","","","","","","","","","",""
"image-keyboard-response","265","1754611","0.0-13.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","266","1760003","0.0-13.0-3.0","4514","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","125","27","F7","contented"
"html-keyboard-response","267","1761016","0.0-13.0-0.1","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","268","1767252","0.0-13.0-1.1","","","","","","","","","","","","","",""
"image-keyboard-response","269","1767768","0.0-13.0-2.1","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","270","1769177","0.0-13.0-3.1","1180","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-141","-141","M1","horrified"
"html-keyboard-response","271","1770182","0.0-13.0-0.2","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","272","1775870","0.0-13.0-1.2","","","","","","","","","","","","","",""
"image-keyboard-response","273","1776377","0.0-13.0-2.2","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","274","1781833","0.0-13.0-3.2","4750","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-133","48","M5","guilty"
"html-keyboard-response","275","1782843","0.0-13.0-0.3","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","276","1788448","0.0-13.0-1.3","","","","","","","","","","","","","",""
"image-keyboard-response","277","1788956","0.0-13.0-2.3","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","278","1794499","0.0-13.0-3.3","5319","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-129","46","F2","nervous"
"html-keyboard-response","279","1795504","0.0-13.0-0.4","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","280","1801463","0.0-13.0-1.4","","","","","","","","","","","","","",""
"image-keyboard-response","281","1801968","0.0-13.0-2.4","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","282","1806225","0.0-13.0-3.4","3742","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-145","53","F3","depressed"
"html-keyboard-response","283","1807236","0.0-13.0-0.5","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","284","1812953","0.0-13.0-1.5","","","","","","","","","","","","","",""
"image-keyboard-response","285","1813459","0.0-13.0-2.5","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","286","1815782","0.0-13.0-3.5","2267","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-7","-46","M6","curious"
"html-keyboard-response","287","1816790","0.0-13.0-0.6","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","288","1823416","0.0-13.0-1.6","","","","","","","","","","","","","",""
"image-keyboard-response","289","1823920","0.0-13.0-2.6","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","290","1825118","0.0-13.0-3.6","821","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-37","-103","M2","doubtful"
"html-keyboard-response","291","1826126","0.0-13.0-0.7","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","292","1832171","0.0-13.0-1.7","","","","","","","","","","","","","",""
"image-keyboard-response","293","1832688","0.0-13.0-2.7","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","294","1834441","0.0-13.0-3.7","1117","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-49","-112","M6","despondent"
"html-keyboard-response","295","1835449","0.0-13.0-0.8","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","296","1841719","0.0-13.0-1.8","","","","","","","","","","","","","",""
"image-keyboard-response","297","1842234","0.0-13.0-2.8","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","298","1843103","0.0-13.0-3.8","840","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-144","140","M1","incredulous"
"html-keyboard-response","299","1844108","0.0-13.0-0.9","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","300","1849351","0.0-13.0-1.9","","","","","","","","","","","","","",""
"image-keyboard-response","301","1849865","0.0-13.0-2.9","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","302","1853373","0.0-13.0-3.9","3338","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-49","-98","F4","dubious"
"html-keyboard-response","303","1854381","0.0-13.0-0.10","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","304","1861702","0.0-13.0-1.10","","","","","","","","","","","","","",""
"image-keyboard-response","305","1862213","0.0-13.0-2.10","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","306","1863270","0.0-13.0-3.10","946","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-76","58","M4","baffled"
"html-keyboard-response","307","1864282","0.0-13.0-0.11","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","308","1870502","0.0-13.0-1.11","","","","","","","","","","","","","",""
"image-keyboard-response","309","1871008","0.0-13.0-2.11","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","310","1872779","0.0-13.0-3.11","1465","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-57","-66","F4","indifferent"
"html-keyboard-response","311","1873782","0.0-13.0-0.12","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","312","1880882","0.0-13.0-1.12","","","","","","","","","","","","","",""
"image-keyboard-response","313","1881398","0.0-13.0-2.12","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","314","1882613","0.0-13.0-3.12","923","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","143","145","M1","amused"
"html-keyboard-response","315","1883616","0.0-13.0-0.13","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","316","1889233","0.0-13.0-1.13","","","","","","","","","","","","","",""
"image-keyboard-response","317","1889745","0.0-13.0-2.13","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","318","1893194","0.0-13.0-3.13","3148","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","1","93","M5","playful"
"html-keyboard-response","319","1894209","0.0-13.0-0.14","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","320","1899610","0.0-13.0-1.14","","","","","","","","","","","","","",""
"image-keyboard-response","321","1900127","0.0-13.0-2.14","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","322","1901175","0.0-13.0-3.14","898","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-11","-15","F4","irritated"
"html-keyboard-response","323","1902188","0.0-13.0-0.15","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","324","1908598","0.0-13.0-1.15","","","","","","","","","","","","","",""
"image-keyboard-response","325","1909113","0.0-13.0-2.15","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","326","1913221","0.0-13.0-3.15","3922","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","46","69","M1","sarcastic"
"html-keyboard-response","327","1914229","0.0-13.0-0.16","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","328","1920749","0.0-13.0-1.16","","","","","","","","","","","","","",""
"image-keyboard-response","329","1921257","0.0-13.0-2.16","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","330","1922308","0.0-13.0-3.16","721","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","78","111","F2","confident"
"html-keyboard-response","331","1923318","0.0-13.0-0.17","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","332","1929982","0.0-13.0-1.17","","","","","","","","","","","","","",""
"image-keyboard-response","333","1930488","0.0-13.0-2.17","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","334","1932111","0.0-13.0-3.17","1459","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-34","1","F5","anticipating"
"html-keyboard-response","335","1933113","0.0-13.0-0.18","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","336","1939172","0.0-13.0-1.18","","","","","","","","","","","","","",""
"image-keyboard-response","337","1939682","0.0-13.0-2.18","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","338","1941157","0.0-13.0-3.18","1292","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","90","97","F2","enthused"
"html-keyboard-response","339","1942165","0.0-13.0-0.19","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","340","1949149","0.0-13.0-1.19","","","","","","","","","","","","","",""
"image-keyboard-response","341","1949667","0.0-13.0-2.19","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","342","1954360","0.0-13.0-3.19","4299","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-39","-51","M3","dubious"
"html-keyboard-response","343","1955373","0.0-13.0-0.20","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","344","1961580","0.0-13.0-1.20","","","","","","","","","","","","","",""
"image-keyboard-response","345","1962098","0.0-13.0-2.20","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","346","1964202","0.0-13.0-3.20","1816","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","1","-37","F4","defiant"
"html-keyboard-response","347","1965217","0.0-13.0-0.21","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","348","1971229","0.0-13.0-1.21","","","","","","","","","","","","","",""
"image-keyboard-response","349","1971735","0.0-13.0-2.21","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","350","1974649","0.0-13.0-3.21","2726","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-96","59","M3","hateful"
"html-keyboard-response","351","1975658","0.0-13.0-0.22","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","352","1982036","0.0-13.0-1.22","","","","","","","","","","","","","",""
"image-keyboard-response","353","1982554","0.0-13.0-2.22","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","354","1985890","0.0-13.0-3.22","2779","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-70","60","M5","comforting"
"html-keyboard-response","355","1986898","0.0-13.0-0.23","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","356","1994009","0.0-13.0-1.23","","","","","","","","","","","","","",""
"image-keyboard-response","357","1994526","0.0-13.0-2.23","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","358","1995934","0.0-13.0-3.23","717","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-59","64","F3","offended"
"html-keyboard-response","359","1996947","0.0-13.0-0.24","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","360","2004033","0.0-13.0-1.24","","","","","","","","","","","","","",""
"image-keyboard-response","361","2004541","0.0-13.0-2.24","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","362","2007504","0.0-13.0-3.24","2384","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","125","-44","F6","relieved"
"html-keyboard-response","363","2008509","0.0-13.0-0.25","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","364","2014654","0.0-13.0-1.25","","","","","","","","","","","","","",""
"image-keyboard-response","365","2015162","0.0-13.0-2.25","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
